YC Company,Website,Description (YC),YC Page,LinkedIn Page,LinkedIn Snippet,Mentions YC S25
Fluidize,https://fluidize.ai,Helping scientists and engineers run experiments with AI. ,https://www.ycombinator.com/companies/fluidize,https://www.linkedin.com/company/fluidize-ai,Fluidize (YC S25). Software Development. The first agentic framework to autonomously run end-to-end scientific workflows.,TRUE
Ambral,https://www.ambral.com/,AI-powered Account Managers,https://www.ycombinator.com/companies/ambral,,,FALSE
Nixo,https://withnixo.com/,The modern Zendesk for scaling high-touch customer support,https://www.ycombinator.com/companies/nixo,https://www.linkedin.com/company/withnixo,"Nixo (YC S25). Technology, Information and Internet. The modern Zendesk for scaling high-touch customer support. Follow · Report this company; Close menu.",TRUE
Cactus,https://www.cactuscompute.com/,Deploy AI models locally on smartphones.,https://www.ycombinator.com/companies/cactus,https://www.linkedin.com/company/cactus-compute/,"Deploy AI on smartphones, wearables, and tiny edge devices in a few lines of code.",TRUE
Synthetic Society,https://syntheticsociety.ai/,Synthetic Agents to Simulate Real Users,https://www.ycombinator.com/companies/synthetic-society,https://www.linkedin.com/company/kyran-ai,"... Synthetic Society (YC S25) founded by Aaron Chew & Kavan Doctor. They're building AI-powered synthetic agents to simulate real users, helping product teams ...",TRUE
Pingo AI,https://mypingoai.com,AI companion that helps you learn languages,https://www.ycombinator.com/companies/pingo-ai,https://www.linkedin.com/company/pingo-ai,Website: https://mypingoai.com. External link for Pingo AI. Industry: Software Development. Company size: 2-10 employees. Type: Privately Held ...,FALSE
Planisphere,https://planisphere.ai/,The first AI-native acquisitions platform that automates deal…,https://www.ycombinator.com/companies/planisphere,https://www.linkedin.com/company/planisphereai,Planisphere (YC S25) | 70 followers on LinkedIn. The AI CRE analyst | We are building an AI analyst that handles the CRE acquisitions workflow.,TRUE
Closera,https://closera.com,AI employees for commercial real estate,https://www.ycombinator.com/companies/closera,https://www.linkedin.com/company/norra-io,"Closera (YC S25). Real Estate · Timely AI. Software Development. Austin, TX · Industrial Construction North AB. Building Construction · Studybuddy AB. Education ...",TRUE
Acrely,https://www.acrely.ai,"voice ai for realtors that answers, so you can close",https://www.ycombinator.com/companies/acrely,https://www.linkedin.com/company/acrely-ai,"We answer the phone so real estate agents don't have to. Meet Jane, your AI-powered assistant from Acrely.ai. When someone calls your number, Jane picks up.See more",TRUE
MangoDesk,https://www.mangodesk.com/,We improve AI models by sourcing domain experts for data and evals.,https://www.ycombinator.com/companies/mangodesk,https://www.linkedin.com/company/mangodesk,"MangoDesk (YC S25). Software Development. San Francisco, CA 7,883 followers. We improve AI models by sourcing domain experts for data and evals.",TRUE
Halluminate,https://halluminate.ai/,Data and environments to train computer use AI,https://www.ycombinator.com/companies/halluminate,https://www.linkedin.com/company/halluminate,Halluminate (YC S25) provides data and realistic sandboxes to train computer-use AI. 90% of all work is done on a computer. In the same way self-driving ...,TRUE
TraceRoot.AI,https://traceroot.ai,AI agents automatically fix your production bugs,https://www.ycombinator.com/companies/traceroot-ai,https://www.linkedin.com/company/camel-ai-org,CAMEL-AI now integrates TraceRoot.AI (YC S25) Observability! Key features: ✔️ Full visibility into agent execution and decisions ✔️ Easy observe() decorator ...,TRUE
AgentMail,https://agentmail.to,Email Infrastructure for AI Agents,https://www.ycombinator.com/companies/agentmail,https://www.linkedin.com/company/agentmailto,"AgentMail is an email API that allows your agent to have its own inbox. Think of it like Gmail, but for AI Agents instead of humans.",TRUE
truthsystems,https://www.truthsystems.ai,Building the unified governance layer for regulated industries,https://www.ycombinator.com/companies/truthsystems,https://www.linkedin.com/company/truth-systems-incoperated,truthsystems | 150 followers on LinkedIn. Making Large Language Models Trustworthy for Legal Tech | Helping law firms build the future of AI Governance.,FALSE
Lanesurf,https://www.lanesurf.com/,Voice AI for booking freight,https://www.ycombinator.com/companies/lanesurf,https://www.linkedin.com/company/lane-surf,"Lanesurf (YC S25). Transportation, Logistics, Supply Chain and Storage. San Francisco, California 2,620 followers. Voice AI to find carriers and ...",TRUE
Async,https://www.async.build/,A team of coding agents in your pocket,https://www.ycombinator.com/companies/async,https://www.linkedin.com/company/asyncdev,"Async lets you issue tasks, then handles coding and testing in the background. Review results on mobile or desktop, run tasks in parallel, and move faster than ...",FALSE
Golpo,https://video.golpoai.com/,Most Powerful AI Video Gen Model for Explainer Videos From Documents,https://www.ycombinator.com/companies/golpo,https://www.linkedin.com/company/golpo-ai,Golpo (YC S25) is the most powerful AI video generator for explainer videos from your documents or internal workflows. You can access the proprietary video ...,TRUE
Shor,https://www.tryshor.com,"Affordable, Simple, Fast Payroll for Global Remote Teams",https://www.ycombinator.com/companies/shor,https://www.linkedin.com/company/shorpay/,"Shor is the fastest, most affordable global Employer of Record (EOR), payroll, and cross-border payments platform",TRUE
Pond,https://trypond.ai,Superhuman for text messages,https://www.ycombinator.com/companies/pond,https://www.linkedin.com/company/pondai/,AI-powered messaging,FALSE
Symbia,https://symbiauto.com,We automate clinical trial applications,https://www.ycombinator.com/companies/symbia,https://www.linkedin.com/company/symbiauto,"At Symbia, we generate IND documents in minutes using AI. But quality is important. Human SMEs need to be in the loops to review and edit the documents. Even ...",FALSE
Verne Robotics,https://vernerobotics.com/,AI software for autonomous robot arms,https://www.ycombinator.com/companies/verne-robotics,https://www.linkedin.com/company/vernerobotics,"Verne Robotics. Robotics Engineering. San Francisco, California 90 followers. Unlock human abundance by democratizing robot autonomy. Follow.",FALSE
ContextFort,https://contextfort.ai/,Automating drawing reviews for construction contractors,https://www.ycombinator.com/companies/contextfort,https://www.linkedin.com/company/contextfort/,Automating drawing reviews for construction contractors,FALSE
Sentinel,https://yoursentinel.ai,AI on-call engineer,https://www.ycombinator.com/companies/sentinel,https://www.linkedin.com/company/yoursentinel,"Sentinel is your 24/7 AI on-call engineer. Sentinel investigates and root causes production incidents in minutes, so you can focus on shipping, ...",TRUE
Design Arena,https://www.designarena.ai/,World's largest crowdsourced benchmark for AI-generated design,https://www.ycombinator.com/companies/design-arena,https://www.linkedin.com/company/design-arena-ai/about/,Largest crowdsourced benchmark for AI-generated visuals,FALSE
Monarcha,https://monarcha.ai,The AI GIS Platform ,https://www.ycombinator.com/companies/monarcha,https://www.linkedin.com/company/monarchagis,"Monarcha is an AI-powered geospatial platform that turns natural language into spatial analysis, styling, and workflows with no GIS expertise required.",TRUE
Orange Slice,https://orangeslice.ai,AI agents that find you customers who already want to buy,https://www.ycombinator.com/companies/orange-slice,https://www.linkedin.com/company/orange-sliceai,"Orange Slice. Technology, Information and Internet. AI-agents that find you customers who already want to buy. Follow.",FALSE
Herdora,https://www.herdora.com,Cursor for CUDA,https://www.ycombinator.com/companies/herdora,https://www.linkedin.com/company/herdora-ai,"Herdora. Technology, Information and Internet. GPUs. Backed by YCombinator S25. Follow · Report this company; Close menu. View all 2 employees ...",FALSE
Qualify.bot,https://www.qualify.bot/,AI phone agents for Commercial Lending ,https://www.ycombinator.com/companies/qualify-bot,https://www.linkedin.com/company/qualify-bot,"Qualify.bot (YC S25). Technology, Information and Internet. Process 4x business loan applications with with AI phone calls.",TRUE
Cyberdesk,https://www.cyberdesk.io,The computer use agent for developers to automate Windows apps,https://www.ycombinator.com/companies/cyberdesk,https://www.linkedin.com/company/cyberdeskhq,"At Cyberdesk, our mission is to help anyone build and launch a production ready computer use agent in a single weekend.",TRUE
Janet AI,https://tryjanet.ai,The AI-Native Ticket Triage and Management Layer for Jira,https://www.ycombinator.com/companies/tryjanet,https://www.linkedin.com/company/janet-ai,Janet AI is the AI-native ticket triage and management layer for Jira. Janet AI watches every incoming ticket and immediately compares it to everything that's ...,TRUE
