id,company_name,slug,former_names,small_logo_thumb_url,website,all_locations,long_description,description,team_size,industry,subindustry,launched_at,tags,tags_highlighted,top_company,isHiring,nonprofit,batch,status,industries,regions,stage,app_video_public,demo_day_video_public,app_answers,question_answers,url,api,yc_page
30352,Fluidize,fluidize,[],https://bookface-images.s3.amazonaws.com/small_logos/bdde5b32f2b28f78eb65fb57e6bddd78dfc14d6b.png,https://fluidize.ai,"San Francisco, CA, USA","Fluidize accelerates R&D for scientists and engineers by using AI to build and run simulations and experiments. Our platform speeds up development pipelines by automating setup, execution, validation, and scaling, allowing engineers to focus on their science.",Helping scientists and engineers run experiments with AI. ,3.0,B2B,Unspecified,1753994250,"['Developer Tools', 'B2B', 'Open Source', 'Infrastructure', 'AI']",[],False,False,False,Summer 2025,Active,"['B2B', 'Engineering, Product and Design']","['United States of America', 'America / Canada']",Early,False,False,,False,https://www.ycombinator.com/companies/fluidize,https://yc-oss.github.io/api/batches/summer-2025/fluidize.json,https://www.ycombinator.com/companies/fluidize
30362,Ambral,ambral,"['Helium', 'Halidom', 'Helium', 'Ambral AI']",https://bookface-images.s3.amazonaws.com/small_logos/c1261383b7f5f7d5fcba63a49453bf6d9148fcfc.png,https://www.ambral.com/,,"Ambral is an AI account management team that finds the upsell opportunities and churn-risks hiding in your data.

We act as a telemetry engine for customer relationships, synthesizing the critical signals from your messy data to generate a dynamic AI model of every account. We pinpoint exactly who needs attention and why, then recommend or autonomously take the right action to drive an expansion, prevent churn, or create a new champion.

Team: 
Sam (CEO): 2x founder. Led AI Product at Everlywell and early PM at Wonder (now valued at $7bn). Lived the pain of losing customer intimacy at scale and is obsessed with solving it. Cornell CS alum.

Jack (CTO): Ex-SpaceX Flight Software Special Projects, where he developed telemetry routing and analysis systems for the most complex machines ever created. He’s now doing the same for the complexities of customer relationships. Cornell CS alum.

Why:
As B2B companies scale, the founder-level customer intimacy that drives early growth becomes impossible to maintain. Customer context that once fit in a founder's head scatters across systems, logs, and communication channels, drowning teams in noise no human can make sense of. Account managers juggling multiple customers become reactive firefighters, bleeding revenue through missed upsells and preventable churn. We've lived this pain and are building Ambral to help teams scale their most valuable asset: customer obsession.",AI-powered Account Managers,2.0,B2B,Unspecified,1753910833,"['SaaS', 'B2B', 'AI']",[],False,False,False,Summer 2025,Active,"['B2B', 'Sales']",['Unspecified'],Early,False,False,,False,https://www.ycombinator.com/companies/ambral,https://yc-oss.github.io/api/batches/summer-2025/ambral.json,https://www.ycombinator.com/companies/ambral
30494,Nixo,nixo,[],https://bookface-images.s3.amazonaws.com/small_logos/0b97edbace40b8e2e20e603f1feeeccf3379d5e2.png,https://withnixo.com/,"San Francisco, CA, USA",,The modern Zendesk for scaling high-touch customer support,2.0,B2B,Unspecified,1752219403,"['Artificial Intelligence', 'B2B', 'Workflow Automation', 'Customer Support']",[],False,False,False,Summer 2025,Active,['B2B'],"['United States of America', 'America / Canada']",Early,False,False,,False,https://www.ycombinator.com/companies/nixo,https://yc-oss.github.io/api/batches/summer-2025/nixo.json,https://www.ycombinator.com/companies/nixo
30510,Cactus,cactus,[],https://bookface-images.s3.amazonaws.com/small_logos/38edcfba2831cce5f05a5da045992ae4f758e655.png,https://www.cactuscompute.com/,"London, England, United Kingdom","Open-source inference engine for deploying AI locally on smartphones. Available in React-Native, Flutter, and C/C++. Supports multimodal models, text-to-speech, embedding models and more.

Repo: https://github.com/cactus-compute/cactus
Discord: https://discord.gg/nPGWGxXSwr",Deploy AI models locally on smartphones.,2.0,B2B,"B2B -> Engineering, Product and Design",1752189935,"['Artificial Intelligence', 'Developer Tools', 'Hard Tech']",[],False,False,False,Summer 2025,Active,"['B2B', 'Engineering, Product and Design']","['United Kingdom', 'Europe']",Early,False,False,,True,https://www.ycombinator.com/companies/cactus,https://yc-oss.github.io/api/batches/summer-2025/cactus.json,https://www.ycombinator.com/companies/cactus
30520,Synthetic Society,synthetic-society,[],https://bookface-images.s3.amazonaws.com/small_logos/b2b8be4ce1ebb38b874cd798499bbc2de228fc36.png,https://syntheticsociety.ai/,"San Francisco, CA, USA",,Synthetic Agents to Simulate Real Users,2.0,B2B,Unspecified,1752639112,"['Artificial Intelligence', 'Developer Tools', 'B2B']",[],False,False,False,Summer 2025,Active,"['B2B', 'Engineering, Product and Design']","['United States of America', 'America / Canada']",Early,False,False,,False,https://www.ycombinator.com/companies/synthetic-society,https://yc-oss.github.io/api/batches/summer-2025/synthetic-society.json,https://www.ycombinator.com/companies/synthetic-society
30582,Pingo AI,pingo-ai,[],https://bookface-images.s3.amazonaws.com/small_logos/8c01715a01a6f73433d324a587d34bafc2adf824.png,https://mypingoai.com,"San Francisco, CA, USA","Pingo AI is an AI language learning app that helps users build fluency through speaking. It immerses learners in realistic dialogues and personalized lessons with an AI tutor who sounds like a native speaker. Our goal is to make learning languages as simple as daily conversations with Pingo — a companion who understands your goals, remembers your progress, and keeps you motivated.",AI companion that helps you learn languages,2.0,Consumer,Consumer,1753741789,"['Artificial Intelligence', 'Education']",[],False,False,False,Summer 2025,Active,['Consumer'],"['United States of America', 'America / Canada', 'Remote', 'Partly Remote']",Early,False,False,,False,https://www.ycombinator.com/companies/pingo-ai,https://yc-oss.github.io/api/batches/summer-2025/pingo-ai.json,https://www.ycombinator.com/companies/pingo-ai
30601,Planisphere,planisphere,[],https://bookface-images.s3.amazonaws.com/small_logos/1740f66a5d0a194c6ce6dfe34c3c9efd5414a101.png,https://planisphere.ai/,"San Francisco, CA, USA","Planisphere connects to commercial real estate analyst's inbox and helps them find the 10 deals they are interested from the 500 they receive daily.

We replace analysts paid hundreds of thousands of dollars. Turner was one of these and noticed AI was perfect for this job. We are selling this to his old boss and are working with a handful of firms to deploy our product ",The first AI-native acquisitions platform that automates deal…,4.0,B2B,B2B,1753921674,"['Documents', 'Artificial Intelligence', 'Real Estate', 'Proptech']",[],False,False,False,Summer 2025,Active,['B2B'],"['United States of America', 'America / Canada']",Early,False,False,,False,https://www.ycombinator.com/companies/planisphere,https://yc-oss.github.io/api/batches/summer-2025/planisphere.json,https://www.ycombinator.com/companies/planisphere
30603,Closera,closera,[],https://bookface-images.s3.amazonaws.com/small_logos/ff4023cc85097ec825f74cc6019f8b85ea20321a.png,https://closera.com,"San Francisco, CA, USA","We're building AI employees for commercial real estate (CRE) brokerages that are better than today's best analysts.

We're starting by automating the workflows done by human brokers while marketing commercial properties (creating listings, staging properties, drafting offering memorandums, and more). We save them time and enable them to personalize materials, so they can do more deals, improve conversion rates, and make more money.

We see this as our wedge into the market as we work towards our vision of building a full-stack AI system that handles all the repetitive and time-consuming parts of a CRE broker’s job (and eventually in other industries as well). 

We envision a future where people in the industry are free from making decks and doing grunt work, so they can focus on the parts of the job they love (or just have more free time for pickleball 🏓)!

Curious? Check us out at closera.com",AI employees for commercial real estate,2.0,B2B,Unspecified,1751847740,"['Artificial Intelligence', 'Generative AI', 'Real Estate', 'B2B', 'Marketing']",[],False,False,False,Summer 2025,Active,['B2B'],"['United States of America', 'America / Canada']",Early,False,False,,False,https://www.ycombinator.com/companies/closera,https://yc-oss.github.io/api/batches/summer-2025/closera.json,https://www.ycombinator.com/companies/closera
30606,Acrely,acrely,[],https://bookface-images.s3.amazonaws.com/small_logos/599629b9dce294f5621aeaf663b76424933bd820.png,https://www.acrely.ai,"San Francisco, CA, USA","We provide residential real estate agents voice AI to maximize lead capture and outbound.

Meet Jane, your AI-powered assistant. When someone calls your number and you don't pick up, Jane does. She talks to your leads, figures out what they need, and helps them — whether it's scheduling a showing, recommending listings, or just making sure serious buyers get a fast response.

Real estate is one of the last few archaic industries that still uses phone calls as the crux of communication, and voice AI is just getting good enough to make humans willing to engage.

Real estate is a industry of connections, without a clear break-in strategy, or without industry connections, attempting to pitch to a realtor is like finding a needle in a haystack, as they are already flooded with sales calls.

Realtors plaster their phone numbers all over the internet, as well as all over the world and are flooded with unqualified leads, drowning out possible five-figure clients. By saving realtors qualified leads and providing the feeling of a human interaction, realtors save tens of thousands in missed opportunities.

","voice ai for realtors that answers, so you can close",3.0,B2B,Unspecified,1752517197,"['Real Estate', 'AI Assistant']",[],False,False,False,Summer 2025,Active,['B2B'],"['United States of America', 'America / Canada']",Early,False,False,,False,https://www.ycombinator.com/companies/acrely,https://yc-oss.github.io/api/batches/summer-2025/acrely.json,https://www.ycombinator.com/companies/acrely
30608,MangoDesk,mangodesk,[],https://bookface-images.s3.amazonaws.com/small_logos/28f75fbb2513c3b5ef3e67a4b3c47ce3995f896b.png,https://www.mangodesk.com/,"San Francisco, CA, USA","We’re an end-to-end AI platform to source, screen, and manage domain experts to evaluate and improve AI models with high-quality data. 

AGI requires expert-created data and evals across domains, quickly and at volumes. Finding the right experts and creating this data reliably is a complex operational challenge. We solve this end-to-end. 

Ankith was previously an engineer at Scale AI where he built the infrastructure for expert sourcing/screening and Gen AI data labeling operations, and Ananth previously founded a software firm with seven-figure revenue and Fortune 500 customers.",We improve AI models by sourcing domain experts for data and evals.,2.0,B2B,B2B,1753752561,['AI'],[],False,False,False,Summer 2025,Active,['B2B'],"['United States of America', 'America / Canada']",Early,False,False,,False,https://www.ycombinator.com/companies/mangodesk,https://yc-oss.github.io/api/batches/summer-2025/mangodesk.json,https://www.ycombinator.com/companies/mangodesk
